Win Shares,Mins Played (per game),Player,Games,Year,Rank,Points(per game),WS/48,Box +/-,Value Overall Replacement Player,Team,College,Years,Mins Played (Total),Points (Total)
45.4,30.1,Nikola Vučević,573,2011,16,15.9,0.126,1.9,17,PHI,USC,9,17274,9101
12.9,25,Iman Shumpert,459,2011,17,7.2,0.054,-0.6,4.1,NYK,Georgia Tech,9,11459,3318
15.4,21.9,Alec Burks,475,2011,12,10.1,0.071,-2,-0.1,UTA,Colorado,9,10389,4817
23.1,21.8,Cory Joseph,576,2011,29,6.9,0.088,-0.8,3.7,SAS,Texas,9,12559,3973
72.9,33.1,Jimmy Butler,564,2011,30,17,0.188,4.1,28.7,CHI,Marquette,9,18656,9560
2.3,17.6,Chris Singleton,148,2011,18,4.1,0.042,-2.3,-0.2,WAS,Florida State,3,2605,612
3,22.3,Norris Cole,360,2011,28,7,0.018,-4,-4,CHI,Cleveland State University,6,8018,2506
0.2,8.3,JaJuan Johnson,36,2011,27,3.2,0.032,-6.3,-0.3,NJN,Purdue,1,298,114
3,13.9,Jordan Hamilton,151,2011,26,5.9,0.069,-1.5,0.3,DAL,Texas,5,2100,890
28.6,25.2,Reggie Jackson,537,2011,24,12.9,0.101,-0.1,6.6,OKC,Boston College,9,13537,6928
3.3,17.3,MarShon Brooks,200,2011,25,8,0.046,-2.5,-0.4,BOS,Providence,5,3456,1592
38.8,24.5,Kenneth Faried,478,2011,22,11.4,0.159,1.1,9.3,DEN,Morehead State University,8,11728,5430
-0.8,9.9,Nolan Smith,84,2011,21,3.3,-0.047,-6.5,-0.9,POR,Duke,2,829,277
44,30.7,Tobias Harris,595,2011,19,15.8,0.115,0.2,10,CHA,Tennessee,9,18281,9388
36.5,31.5,Khris Middleton,496,2012,39,16,0.112,0.5,9.8,DET,Texas A&M,8,15617,7959
0.1,12.7,Doron Lamb,100,2012,42,3.5,0.005,-5.9,-1.2,MIL,Kentucky,2,1272,345
-0.9,8,Tyshawn Taylor,61,2012,41,2.9,-0.088,-8.8,-0.8,POR,Kansas,2,491,174
20.3,24.2,Will Barton,484,2012,40,11,0.083,-0.3,4.9,POR,Memphis,8,11731,5307
-0.1,13.5,Quincy Miller,69,2012,38,4.3,-0.003,-4,-0.5,DEN,Baylor,3,934,295
1.4,10.8,Orlando Johnson,103,2012,36,3.2,0.059,-3.8,-0.5,SAC,UC Santa Barbara,3,1112,329
44.2,28.2,Draymond Green,569,2012,35,9,0.132,3.4,21.9,GSW,Michigan State,8,16031,5128
30.2,24.6,Jae Crowder,587,2012,34,9.5,0.1,0.6,9.4,CLE,Marquette,8,14450,5580
1.9,8.3,Bernard James,92,2012,33,2.2,0.117,-1.1,0.2,CLE,Florida State,3,761,203
14.8,16.5,Mike Scott,485,2012,43,7,0.089,-2.5,-0.9,ATL,Virginia,8,7989,3387
8.7,16,Quincy Acy,337,2012,37,4.9,0.078,-1.8,0.2,TOR,Baylor,7,5392,1642
0.2,9.9,Kim English,41,2012,44,2.9,0.021,-4.2,-0.2,DET,Missouri,1,407,119
1.9,14.3,Robbie Hummel,98,2012,58,3.9,0.066,-2.9,-0.3,MIN,Purdue,2,1397,379
5.9,20.4,Darius Miller,253,2012,46,6,0.055,-1.7,0.4,NOH,Kentucky,5,5161,1524
-0.3,3.1,Kevin Murphy,17,2012,47,0.9,-0.272,-17.6,-0.2,UTA,Tennessee Technological University,1,52,15
17.4,14.3,Kyle O'Quinn,464,2012,49,5.5,0.126,1.9,6.4,ORL,Norfolk State,8,6618,2536
-0.1,5.4,Kris Joseph,10,2012,51,0.9,-0.127,-10.5,-0.1,BOS,Syracuse,1,54,9
-0.3,3,Darius Johnson-Odom,7,2012,55,0,-0.597,-23.2,-0.1,DAL,Marquette,2,21,0
1.3,19.4,Jeffery Taylor,132,2012,31,6.1,0.024,-3.9,-1.2,CHA,Vanderbilt,3,2566,807
3.7,17.4,Justin Hamilton,113,2012,45,6.1,0.091,-0.3,0.8,PHI,LSU,3,1961,687
5.9,14.1,Festus Ezeli,170,2012,30,4.2,0.119,-1.1,0.6,GSW,Vanderbilt,3,2394,712
,,Marcus Denmon,,2012,59,,,,,SAS,Missouri,,,
1.7,11.7,Perry Jones,143,2012,28,3.4,0.048,-4.6,-1.1,OKC,Baylor,3,1675,488
79.5,34.6,Anthony Davis,506,2012,1,24,0.218,5,30.8,NOH,Kentucky,8,17496,12128
21.1,25.1,Michael Kidd-Gilchrist,433,2012,2,8.6,0.093,-1.2,2.2,CHA,Kentucky,8,10857,3738
39.9,34.5,Bradley Beal,528,2012,3,20.5,0.105,1,13.9,WAS,Florida,8,18198,10832
8.7,28.3,Dion Waiters,412,2012,4,13.2,0.036,-2.5,-1.6,CLE,Syracuse,8,11670,5422
4.6,13.4,Thomas Robinson,313,2012,5,4.9,0.053,-3.2,-1.3,SAC,Kansas,5,4204,1528
78.6,36.3,Damian Lillard,596,2012,6,24,0.174,4.2,33.8,POR,Weber State,8,21653,14290
32.6,31.1,Harrison Barnes,588,2012,7,13.6,0.086,-1.4,2.7,GSW,UNC,8,18268,8026
20.9,24.4,Terrence Ross,538,2012,8,10.7,0.077,-0.9,3.6,TOR,Washington,8,13140,5778
60,31.1,Andre Drummond,588,2012,9,14.4,0.158,1.9,17.8,DET,UConn,8,18261,8454
10.7,24.6,Austin Rivers,528,2012,10,9.2,0.04,-2.8,-2.5,NOH,Duke,8,12963,4836
15.6,16,Meyers Leonard,440,2012,11,5.6,0.107,-1.3,1.2,POR,Illinois,8,7038,2462
23.1,21.1,Jeremy Lamb,472,2012,12,10.5,0.111,-0.4,4,HOU,UConn,8,9974,4937
1,19.3,Kendall Marshall,160,2012,13,5,0.015,-5.6,-2.8,PHO,UNC,4,3083,802
20.1,19.7,John Henson,431,2012,14,7.6,0.113,0.6,5.6,MIL,UNC,8,8500,3286
21.2,23.1,Maurice Harkless,522,2012,15,7.2,0.085,0.3,7.1,PHI,St. John's,8,12036,3746
0,3,Royce White,3,2012,16,0,-0.121,-10.4,0,HOU,Iowa State,1,9,0
17.1,17.6,Tyler Zeller,412,2012,17,7,0.113,-1.6,0.8,DAL,UNC,7,7250,2871
14.7,23.8,Terrence Jones,234,2012,18,10.4,0.127,0.1,3,HOU,Kentucky,6,5562,2431
3.8,14.3,Andrew Nicholson,285,2012,19,6,0.045,-5.3,-3.4,ORL,St. Bonaventure,5,4080,1700
15.3,24.3,Jared Sullinger,269,2012,21,10.8,0.113,0.5,4.1,BOS,Ohio State,5,6532,2893
0,6,Fab Melo,6,2012,22,1.2,0.021,-5.8,0,BOS,Syracuse,1,36,7
3,12.8,John Jenkins,171,2012,23,5,0.065,-3.8,-1,ATL,Vanderbilt,6,2183,855
0.2,7.2,Jared Cunningham,84,2012,24,2.3,0.017,-5.9,-0.6,CLE,Oregon State,4,605,197
-1.3,21.2,Tony Wroten,145,2012,25,11.1,-0.021,-4.1,-1.6,MEM,Washington,4,3076,1604
10.6,16.4,Miles Plumlee,346,2012,26,4.9,0.09,-1.6,0.5,IND,Duke,7,5658,1697
1.7,12.4,Arnett Moultrie,59,2012,27,3.6,0.113,-3,-0.2,MIA,Mississippi State,2,729,210
-0.9,10,Marquis Teague,91,2012,29,2.4,-0.045,-8,-1.4,CHI,Kentucky,3,909,217
2.4,14.5,Robert Sacre,189,2012,60,4.2,0.042,-3.1,-0.8,LAL,Gonzaga,4,2745,787
12.7,22.5,Andre Roberson,295,2013,26,4.6,0.092,0.6,4.4,MIN,Colorado,5,6651,1356
10.1,19.6,Reggie Bullock,287,2013,25,7,0.087,-0.8,1.7,LAC,UNC,7,5616,2002
17.6,26.1,Tim Hardaway,448,2013,24,13.2,0.072,-1.7,0.9,NYK,Michigan,7,11715,5903
10.4,22.2,Solomon Hill,352,2013,23,5.9,0.064,-0.7,2.5,IND,Arizona,7,7799,2079
33.5,21.7,Mason Plumlee,514,2013,22,8.4,0.144,2.5,12.5,BRK,Duke,7,11170,4306
26.6,22.2,Gorgui Dieng,495,2013,21,7.9,0.116,1.6,10,UTA,Louisville,7,10996,3919
15.3,22.2,Tony Snell,485,2013,20,6.4,0.068,-1.8,0.6,CHI,New Mexico,7,10776,3106
4.4,19.1,Shane Larkin,256,2013,18,5.5,0.044,-2.5,-0.6,ATL,Miami (FL),4,4880,1399
8.5,17.2,Shabazz Muhammad,278,2013,14,9,0.085,-4.1,-2.5,UTA,UCLA,5,4772,2504
27.2,21.4,Kelly Olynyk,475,2013,13,9.7,0.128,1.4,8.7,DAL,Gonzaga,7,10171,4615
43.5,26.8,Steven Adams,511,2013,12,9.8,0.152,2,13.8,OKC,Pitt,7,13700,4984
6,25.5,Michael Carter-Williams,340,2013,11,10.5,0.033,-0.7,2.9,PHI,Syracuse,7,8682,3584
30.4,30.6,CJ McCollum,456,2013,10,18.2,0.105,0.2,7.6,POR,Lehigh,7,13932,8299
11.2,23,Trey Burke,384,2013,9,10.6,0.061,-2.2,-0.4,MIN,Michigan,7,8841,4069
26.8,29.4,Kentavious Caldwell-Pope,517,2013,8,11.7,0.085,0,7.8,DET,Georgia,7,15185,6050
6.7,23.7,Ben McLemore,416,2013,7,9,0.033,-2.6,-1.5,SAC,Kansas,7,9853,3724
20.7,22.4,Nerlens Noel,341,2013,6,8.2,0.13,2.2,8.1,NOH,Kentucky,6,7635,2786
17.4,19.8,Alex Len,452,2013,5,8,0.093,-1.5,1.1,PHO,Maryland,7,8945,3624
26.7,22.9,Cody Zeller,406,2013,4,8.6,0.138,0.7,6.2,CHA,Indiana,7,9313,3472
29.6,26.9,Otto Porter,408,2013,3,11,0.129,1.9,10.7,WAS,Georgetown,7,10973,4484
24.2,33.2,Victor Oladipo,403,2013,2,17.5,0.087,1.1,10.4,ORL,Indiana,7,13381,7037
1.1,14.5,Archie Goodwin,165,2013,29,6.3,0.022,-4.2,-1.3,OKC,Kentucky,4,2396,1040
0.5,12.6,Anthony Bennett,151,2013,1,4.4,0.013,-5.6,-1.7,CLE,UNLV,4,1905,658
13.9,24.1,Allen Crabbe,376,2013,31,9.1,0.074,-1.3,1.6,CLE,California,7,9057,3440
,,Deshaun Thomas,,2013,58,,,,,SAS,Ohio State,,,
,,Alex Oriakhi,,2013,57,,,,,PHO,Missouri,,,
-0.2,9.3,Peyton Siva,24,2013,56,2.3,-0.032,-7.3,-0.3,DET,Louisville,1,224,54
,,Arsalan Kazemi,,2013,54,,,,,WAS,Oregon,,,
,,Colton Iverson,,2013,53,,,,,IND,Colorado State,,,
,,Romero Osby,,2013,51,,,,,ORL,Oklahoma,,,
13.6,19.9,James Ennis,325,2013,50,6.4,0.101,-0.6,2.3,ATL,Cal State Long Beach,6,6471,2082
-0.1,2.6,Erik Murphy,24,2013,49,0.3,-0.055,-8.1,-0.1,CHI,Florida,1,62,6
3,19.2,Ryan Kelly,163,2013,48,6,0.046,-2.2,-0.2,LAL,Duke,4,3125,981
0.1,8.7,Erick Green,52,2013,46,3.1,0.011,-5.1,-0.3,UTA,Virginia Tech,2,452,159
-0.2,11.5,Lorenzo Brown,103,2013,52,2.8,-0.007,-4.1,-0.6,MIN,NC State,5,1185,293
12.8,15.6,Mike Muscala,342,2013,44,5.6,0.115,-0.1,2.6,DAL,Bucknell,7,5332,1920
0,5.4,Carrick Felix,7,2013,33,2.7,0.057,-4.7,0,CLE,Arizona State,1,38,19
4.3,20.4,Isaiah Canaan,235,2013,34,8.1,0.043,-3,-1.3,HOU,Murray State,6,4799,1913
-0.2,9.5,Glen Rice,16,2013,35,2.7,-0.065,-7.3,-0.2,PHI,Georgia Tech,2,152,43
2.1,18.2,Ray McCallum,154,2013,36,6,0.035,-2.8,-0.6,SAC,Detroit Mercy,3,2808,920
0.9,18.8,Nate Wolters,84,2013,38,5.5,0.028,-4,-0.8,WAS,South Dakota State,3,1575,461
0.2,3.8,Tony Mitchell,21,2013,37,1,0.151,1.3,0.1,DET,University of North Texas,1,79,22
-0.1,6.4,Grant Jerrett,8,2013,40,2,-0.128,-8.4,-0.1,POR,Arizona,1,51,16
0,7.3,Jamaal Franklin,24,2013,41,1.8,-0.006,-5.4,-0.1,MEM,San Diego State,2,174,42
0,10.5,Pierre Jackson,8,2013,42,4.4,0.021,-4.4,-0.1,PHI,Baylor,1,84,35
-0.6,9.9,Ricky Ledo,28,2013,43,3.9,-0.096,-7.8,-0.4,MIL,Providence,2,277,109
6.8,10.1,Jeff Withey,206,2013,39,3.2,0.157,0.6,1.4,POR,Kansas,5,2072,666
21.3,24.3,Jerami Grant,432,2014,39,9.1,0.097,-1,2.6,PHI,Syracuse,6,10485,3915
-0.1,9.4,Nick Johnson,28,2014,42,2.6,-0.02,-7.3,-0.3,HOU,Arizona,1,262,74
6.6,17.4,Glenn Robinson,265,2014,40,5.8,0.069,-2.4,-0.4,MIN,Michigan,6,4603,1531
17,25.4,Spencer Dinwiddie,300,2014,38,12.6,0.107,-0.5,3,DET,Colorado,6,7631,3789
1.3,14.1,K.J. McDaniels,148,2014,32,5.3,0.03,-3.3,-0.7,PHI,Clemson,3,2092,782
0.2,11.5,Johnny O'Bryant,147,2014,36,3.5,0.006,-6.4,-1.9,MIL,LSU,4,1684,509
0.6,5.4,Jarnell Stokes,28,2014,35,2.4,0.202,1,0.1,UTA,Tennessee,3,151,67
-0.6,14.3,Cleanthony Early,56,2014,34,4.3,-0.039,-5.7,-0.8,NYK,Wichita State,2,801,241
12.9,23.9,Joe Harris,308,2014,33,10,0.084,-0.5,2.7,CLE,Virginia,6,7366,3074
,,DeAndre Daniels,,2014,37,,,,,TOR,UConn,,,
1.1,15.9,Markel Brown,113,2014,44,5.2,0.029,-2.8,-0.4,MIN,Oklahoma State,3,1794,584
-0.3,10.4,Devyn Marble,44,2014,56,2.2,-0.028,-5,-0.3,DEN,Iowa,2,457,97
13.1,27.2,Jordan Clarkson,429,2014,46,14.7,0.054,-1.6,1.1,WAS,Missouri,6,11652,6316
-0.2,4.9,Russ Smith,27,2014,47,2,-0.068,-6.4,-0.1,PHI,Louisville,2,131,53
0.1,10.9,Lamar Patterson,40,2014,48,2.3,0.006,-5.5,-0.4,MIL,Pitt,2,435,93
-0.1,4.6,Cameron Bairstow,36,2014,49,1.2,-0.021,-7.7,-0.2,CHI,New Mexico,2,167,44
,,Alec Brown,,2014,50,,,,,PHO,Green Bay,,,
0.9,10,Cory Jefferson,58,2014,60,3.5,0.071,-4.6,-0.4,SAS,Baylor,2,581,205
,,Xavier Thames,,2014,59,,,,,TOR,San Diego State,,,
1.6,13.6,Jordan McRae,115,2014,58,6.9,0.049,-4,-0.8,SAS,Tennessee,4,1566,790
0.1,15.2,Semaj Christon,64,2014,55,2.9,0.006,-6.3,-1.1,MIA,Xavier,1,973,183
26.1,18.7,Dwight Powell,371,2014,45,7.7,0.18,2.2,7.4,CHH,Stanford,6,6956,2867
16.6,19.3,Kyle Anderson,343,2014,30,5.3,0.121,1.9,6.5,SAS,UCLA,6,6624,1820
0.1,5.7,C.J. Wilcox,66,2014,28,2,0.007,-5.2,-0.3,LAC,Washington,3,376,132
14.9,35.9,Andrew Wiggins,439,2014,1,19.7,0.045,-2.3,-1.4,CLE,Kansas,6,15741,8662
12.9,29.3,Jabari Parker,279,2014,2,15.1,0.076,-1.4,1.2,MIL,Duke,6,8178,4204
21.2,30.8,Joel Embiid,191,2014,3,24.1,0.173,3.4,8.1,PHI,Kansas,4,5876,4603
19.7,28.3,Aaron Gordon,383,2014,4,12.5,0.088,0.1,5.6,ORL,Arizona,6,10831,4806
19.2,28.7,Marcus Smart,379,2014,6,9.6,0.085,0.7,7.5,BOS,Oklahoma State,6,10882,3642
19.3,29,Julius Randle,358,2014,7,15.9,0.089,-0.4,4.1,LAL,Kentucky,6,10373,5676
3.8,19.9,Nik Stauskas,335,2014,8,6.8,0.028,-3.2,-2.1,SAC,Michigan,5,6662,2272
9.3,17.2,Noah Vonleh,328,2014,9,5,0.079,-2.5,-0.7,CHH,Indiana,6,5642,1647
14,29.3,Elfrid Payton,373,2014,10,10.9,0.061,-0.4,4.5,PHI,LA-Lafayette,6,10929,4075
13,20.1,Doug McDermott,389,2014,11,8.1,0.08,-2.8,-1.5,DEN,Creighton,6,7807,3160
0.7,14.1,Josh Huestis,76,2014,29,2.5,0.03,-3.8,-0.5,OKC,Stanford,3,1068,187
17.1,28.4,T.J. Warren,309,2014,14,15,0.093,-1.1,2.1,PHO,NC State,6,8787,4636
-0.6,13.1,Adreian Payne,107,2014,15,4,-0.019,-5.5,-1.2,ATL,Michigan State,4,1403,429
0.8,8.5,James Young,95,2014,17,2.3,0.046,-4,-0.4,BOS,Kentucky,4,812,219
1.3,12.6,Tyler Ennis,186,2014,18,4.2,0.026,-4.6,-1.5,PHO,Syracuse,4,2336,779
17.8,28.9,Gary Harris,352,2014,19,12.2,0.084,-0.2,4.7,CHI,Michigan State,6,10171,4307
1.3,10.7,Mitch McGary,52,2014,21,4.4,0.108,-3.1,-0.2,OKC,Michigan,2,557,227
0.4,8.2,Jordan Adams,32,2014,22,3.2,0.07,-0.5,0.1,MEM,UCLA,2,263,101
17.2,27.3,Rodney Hood,341,2014,23,12.5,0.088,-1,2.4,UTA,Duke,6,9326,4247
7.7,16.8,Shabazz Napier,323,2014,24,6.7,0.068,-1.5,0.7,CHH,UConn,6,5435,2174
0.9,18,P.J. Hairston,111,2014,26,6,0.021,-3.9,-1,MIA,UNC,2,2000,664
11.8,30.6,Zach LaVine,344,2014,13,17.4,0.054,-1.1,2.5,MIN,UCLA,6,10530,5989
,,J.P. Tokoto,,2015,58,,,,,PHI,UNC,,,
11.6,23.7,Kelly Oubre,338,2015,15,10.6,0.07,-1.9,0.2,ATL,Kansas,5,8013,3590
0.6,9,Chris McCullough,59,2015,29,3.3,0.054,-2.3,0,BRK,Syracuse,3,532,194
10.2,13.9,Kevon Looney,214,2015,30,4.4,0.165,1.9,2.9,GSW,UCLA,5,2964,937
24.2,20.7,Montrezl Harrell,302,2015,32,12.5,0.186,2.5,7,HOU,Louisville,5,6244,3772
0.5,7.5,Jordan Mickey,64,2015,33,2.4,0.05,-4.8,-0.3,BOS,LSU,3,482,152
-0.2,18.6,Anthony Brown,41,2015,34,3.9,-0.016,-4.8,-0.5,LAL,Stanford,3,762,161
0.5,7.5,Rakeem Christmas,30,2015,36,2.1,0.105,-4,-0.1,MIN,Syracuse,2,225,63
17,18.7,Richaun Holmes,263,2015,37,8.4,0.166,1.6,4.5,PHI,Bowling Green,5,4912,2213
0.3,9.4,Darrun Hilliard,91,2015,38,3.2,0.016,-5.1,-0.7,DET,Villanova,3,859,295
17.7,30.8,Josh Richardson,297,2015,40,12.5,0.093,0.5,5.8,MIA,Tennessee,5,9147,3703
8.6,15.3,Pat Connaughton,260,2015,41,4.7,0.104,-0.4,1.6,BRK,Notre Dame,5,3989,1209
,,Olivier Hanlan,,2015,42,,,,,UTA,Boston College,,,
0.4,8.5,Joe Young,127,2015,43,3.4,0.016,-5.3,-0.9,IND,Oregon,3,1077,429
3.2,20.6,Andrew Harrison,145,2015,44,7,0.051,-2.7,-0.5,PHO,Kentucky,3,2987,1012
10.7,18.3,Norman Powell,293,2015,46,8.2,0.096,-0.8,1.6,MIL,UCLA,5,5353,2391
0.6,5.2,Dakari Johnson,31,2015,48,1.8,0.178,0.3,0.1,OKC,Kentucky,1,161,55
,,Aaron White,,2015,49,,,,,WAS,Iowa,,,
,,Tyler Harvey,,2015,51,,,,,ORL,Eastern Washington,,,
0.4,8.8,R.J. Hunter,45,2015,28,3,0.051,-3.3,-0.1,BOS,Georgia State University,4,395,133
19,23.1,Larry Nance,299,2015,27,7.9,0.132,2.1,7.2,LAL,Wyoming,5,6900,2356
3.2,15.9,Jarell Martin,184,2015,25,5.4,0.053,-3.8,-1.3,MEM,LSU,4,2927,998
50,34.3,Karl-Anthony Towns,353,2015,1,22.6,0.198,5.3,22.3,MIN,Kentucky,5,12124,7993
8,28.9,D'Angelo Russell,303,2015,2,17.3,0.044,0.5,5.6,LAL,Ohio State,5,8751,5236
6.4,20.5,Jahlil Okafor,215,2015,3,11.1,0.069,-3.2,-1.3,PHI,Duke,5,4416,2386
19.8,23.8,Willie Cauley-Stein,338,2015,6,9.8,0.118,0.7,5.5,SAC,Kentucky,5,8054,3300
3.2,20.7,Stanley Johnson,301,2015,8,6.7,0.024,-2.2,-0.3,DET,Arizona,5,6240,2006
12.4,22.2,Frank Kaminsky,314,2015,9,9.9,0.086,-1.1,1.5,CHO,Wisconsin,5,6970,3110
7.8,28.4,Justise Winslow,241,2015,10,9,0.055,-0.9,1.9,MIA,Duke,5,6848,2181
,,Sir'Dominic Pointer,,2015,53,,,,,CLE,St. John's,,,
24.6,28.2,Myles Turner,318,2015,11,12.8,0.132,1.4,7.8,IND,Texas,5,8962,4063
15,33.3,Devin Booker,317,2015,13,22.2,0.068,-0.6,3.7,PHO,Kentucky,5,10568,7038
2.2,16,Cameron Payne,153,2015,14,6,0.044,-2.9,-0.6,OKC,Murray State,4,2454,914
12.1,22.1,Terry Rozier,320,2015,16,9.3,0.082,-0.5,2.6,BOS,Louisville,5,7076,2961
-0.6,12,Rashad Vaughn,139,2015,17,3,-0.017,-5.6,-1.5,MIL,UNLV,3,1671,423
5.4,15.5,Sam Dekker,200,2015,18,5.5,0.083,-1.9,0.1,HOU,Wisconsin,4,3096,1094
8.3,18,Jerian Grant,273,2015,19,6.1,0.081,-2,0,WAS,Notre Dame,4,4918,1665
13.8,19.5,Delon Wright,244,2015,20,7.4,0.139,2,4.8,TOR,Utah,5,4765,1800
4.6,13.1,Justin Anderson,219,2015,21,5.3,0.077,-1.9,0.1,DAL,Virginia,5,2874,1157
10.2,20.4,Bobby Portis,298,2015,22,10.1,0.081,-2,0,CHI,Arkansas,5,6065,3013
11.5,23.1,Rondae Hollis-Jefferson,272,2015,23,9.6,0.088,-0.7,2,POR,Arizona,5,6277,2605
10.1,17.9,Tyus Jones,296,2015,24,5.3,0.091,-1.7,0.4,CLE,Duke,5,5298,1561
9.2,17.5,Trey Lyles,335,2015,12,7.2,0.075,-2.3,-0.5,UTA,Kentucky,5,5863,2419
,,Marcus Thornton,,2015,45,,,,,BOS,College of William & Mary,,,
0,4.8,Branden Dawson,6,2015,56,0.8,0.069,-6.6,0,NOP,Michigan State,1,29,5
,,Cady Lalanne,,2015,55,,,,,SAS,UMass,,,
0.3,5.1,Joel Bolomboy,18,2016,52,1.7,0.132,-3.7,0,UTA,Weber State,2,91,31
-0.3,10.3,Wade Baldwin,56,2016,17,3.1,-0.028,-5.7,-0.5,MEM,Vanderbilt,3,579,174
0.3,9.2,Henry Ellenson,81,2016,18,4,0.018,-6.3,-0.8,DET,Marquette,4,749,327
5.6,16.3,Malik Beasley,204,2016,19,7.3,0.082,-2.1,-0.1,DEN,Florida State,4,3325,1495
5.4,25,Caris LeVert,190,2016,20,11.4,0.055,-1.2,1,IND,Michigan,4,4746,2174
-0.1,8.9,Malachi Richardson,70,2016,22,2.8,-0.009,-6.8,-0.8,CHO,Syracuse,3,625,198
0.1,5.1,Brice Johnson,21,2016,25,2.2,0.062,-2.5,0,LAC,UNC,2,107,47
1.1,19.4,DeAndre' Bembry,189,2016,21,6.2,0.014,-2.7,-0.6,ATL,Saint Joseph's,4,3672,1173
-0.1,3.3,Ben Bentil,3,2016,51,0,-0.473,-26.9,-0.1,BOS,Providence,1,10,0
5.6,26.4,Taurean Waller-Prince,243,2016,12,11.6,0.042,-1.5,0.8,UTA,Baylor,4,6404,2826
19.2,25.3,Pascal Siakam,254,2016,27,12.1,0.144,2.1,6.7,TOR,New Mexico State,4,6414,3078
18.5,24.9,Domantas Sabonis,274,2016,11,11.7,0.13,0.7,4.6,ORL,Gonzaga,4,6829,3193
15.1,16.3,Jakob Pöltl,260,2016,9,5.4,0.171,3.3,5.7,TOR,Utah,4,4250,1402
4.2,18.9,Marquese Chriss,241,2016,8,7.6,0.045,-1.8,0.2,SAC,Washington,4,4564,1833
14.8,29,Jamal Murray,278,2016,7,15.2,0.088,-0.5,3,DEN,Kentucky,4,8055,4234
12,27.9,Buddy Hield,292,2016,6,15.8,0.07,-0.4,3.3,NOP,Oklahoma,4,8151,4615
4,24.3,Kris Dunn,227,2016,5,8.3,0.035,-0.8,1.6,MIN,Providence,4,5516,1884
12.8,25.7,Jaylen Brown,261,2016,3,12.6,0.092,-1.2,1.3,BOS,California,4,6711,3278
8.8,32.1,Brandon Ingram,234,2016,2,16,0.056,-1.7,0.5,LAL,Duke,4,7520,3733
24.1,34.4,Ben Simmons,207,2016,1,16.4,0.162,4.6,11.8,PHI,LSU,3,7131,3396
4.4,17.5,Skal Labissière,148,2016,28,7.2,0.082,-1.7,0.2,PHO,Kentucky,4,2595,1069
3.6,21,Denzel Valentine,163,2016,14,7.6,0.051,-1.2,0.7,CHI,Michigan State,3,3423,1244
4,14,Damian Jones,93,2016,30,4.7,0.146,0.2,0.7,GSW,Vanderbilt,4,1300,438
5,19.2,Dejounte Murray,162,2016,29,7.5,0.077,0.7,2.1,SAS,Washington,3,3104,1219
0,5.6,Marcus Paige,5,2016,55,2.4,-0.006,-6.9,0,BRK,UNC,1,28,12
0,9.3,Daniel Hamilton,25,2016,56,2.8,0,-5.3,-0.2,DEN,UConn,2,232,69
1.4,12.2,Abdel Nader,143,2016,58,4.1,0.039,-4.5,-1.1,BOS,Iowa State,3,1749,587
,,Isaiah Cousins,,2016,59,,,,,SAC,Oklahoma,,,
0.2,15.5,Tyrone Wallace,106,2016,60,5.2,0.006,-4.2,-0.9,UTA,California,3,1639,549
2.6,9.2,Georges Niang,133,2016,50,3.9,0.103,-1.2,0.3,IND,Iowa State,4,1217,513
-0.1,3.6,Michael Gbinije,9,2016,49,0.4,-0.136,-10.5,-0.1,DET,Syracuse,1,32,4
2.9,13.6,Jake Layman,155,2016,47,5.2,0.066,-2,0,ORL,Maryland,4,2105,800
0,7.4,A.J. Hammons,22,2016,46,2.2,-0.001,-5.6,-0.1,DAL,Purdue,1,163,48
0.2,5.2,Demetrius Jackson,26,2016,45,1.8,0.087,-2.2,0,BOS,Notre Dame,3,136,48
-0.4,9.1,Kay Felder,58,2016,54,3.8,-0.041,-7.7,-0.8,ATL,Oakland,2,526,223
5.9,11.9,Cheick Diallo,164,2016,33,5.2,0.145,-2.4,-0.2,LAC,Kansas,4,1953,858
0.5,20.9,Tyler Ulis,133,2016,34,7.5,0.008,-4.7,-1.9,PHO,Kentucky,3,2782,998
16.2,28.4,Malcolm Brogdon,221,2016,36,13.4,0.124,0.3,3.6,MIL,Virginia,4,6280,2971
0.1,12.3,Chinanu Onuaku,6,2016,37,3,0.043,-4.1,0,HOU,Louisville,2,74,18
3.6,12.1,Deyonta Davis,107,2016,31,4.2,0.131,-1.4,0.2,BOS,Michigan State,3,1299,454
-0.1,3.4,Diamond Stone,7,2016,40,1.4,-0.211,-24.1,-0.1,NOP,Maryland,1,24,10
0,5.7,Stephen Zimmerman,19,2016,41,1.2,-0.005,-7.3,-0.1,ORL,UNLV,1,108,23
-0.9,20.5,Isaiah Whitehead,89,2016,42,7.2,-0.025,-4.9,-1.4,UTA,Seton Hall,2,1823,643
3.9,16.8,Patrick McCaw,182,2016,38,3.9,0.06,-2.1,0,MIL,UNLV,4,3058,714
2.1,12.4,D.J. Wilson,96,2017,17,4,0.083,-2.3,-0.1,MIL,Michigan,3,1188,381
2.7,8.7,T.J. Leaf,133,2017,18,3.4,0.113,-3,-0.3,IND,UCLA,3,1161,448
13.6,27.3,John Collins,158,2017,19,15.2,0.151,1.4,3.7,ATL,Wake Forest,3,4314,2402
1.3,13.3,Harry Giles,80,2017,20,6.3,0.058,-2,0,POR,Duke,2,1063,506
17.4,24.2,Jarrett Allen,199,2017,22,10,0.173,2,4.8,BRK,Texas,3,4819,1995
